,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
model_discrepancy,3.164,1103.844,-2085.9,2054.751,8.206,7.498,18084.0,14275.0,1.0
u_fen,4.34,0.39,3.64,4.86,0.017,0.012,563.0,942.0,1.01
heating_coefficient,1.172,0.062,1.059,1.256,0.002,0.002,706.0,1134.0,1.01
u_aw,2.364,0.461,1.53,3.0,0.017,0.012,807.0,1120.0,1.01
p_j_lx,0.039,0.008,0.029,0.053,0.0,0.0,848.0,2021.0,1.0
k_L,1.061,0.187,0.8,1.397,0.007,0.005,904.0,2043.0,1.0
error_obs,2.589,1.152,1.125,4.514,0.012,0.008,13326.0,11410.0,1.0
sim_result[0],110.319,1.374,107.732,112.85,0.009,0.006,25847.0,19848.0,1.0
sim_result[1],86.543,1.078,84.491,88.508,0.007,0.005,25871.0,19823.0,1.0
sim_result[2],94.708,1.179,92.463,96.858,0.007,0.005,25862.0,19848.0,1.0
sim_result[3],97.466,1.214,95.157,99.678,0.008,0.005,25859.0,19848.0,1.0
sim_result[4],80.312,1.0,78.406,82.132,0.006,0.004,25879.0,19924.0,1.0
sim_result[5],86.543,1.078,84.491,88.508,0.007,0.005,25871.0,19823.0,1.0
