,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
model_discrepancy,3.656,864.019,-1647.993,1579.349,6.668,5.758,16768.0,14767.0,1.0
u_fen,4.304,0.399,3.599,4.86,0.015,0.011,761.0,1158.0,1.0
heating_coefficient,1.175,0.06,1.068,1.256,0.002,0.002,858.0,1240.0,1.01
u_aw,2.363,0.457,1.54,3.0,0.018,0.013,729.0,1276.0,1.0
p_j_lx,0.039,0.007,0.029,0.053,0.0,0.0,964.0,1897.0,1.0
k_L,1.047,0.183,0.8,1.388,0.006,0.004,1041.0,2169.0,1.0
error_obs,2.625,1.165,1.128,4.615,0.012,0.009,12297.0,11168.0,1.0
sim_result[0],110.298,1.414,107.615,112.792,0.009,0.006,25580.0,18106.0,1.0
sim_result[1],86.527,1.11,84.433,88.495,0.007,0.005,25600.0,18065.0,1.0
sim_result[2],94.69,1.214,92.387,96.834,0.008,0.005,25592.0,18107.0,1.0
sim_result[3],97.447,1.25,95.099,99.675,0.008,0.006,25590.0,18139.0,1.0
sim_result[4],80.297,1.03,78.35,82.12,0.007,0.005,25607.0,18076.0,1.0
sim_result[5],86.527,1.11,84.433,88.495,0.007,0.005,25600.0,18065.0,1.0
